"KO","STN","Pvalue","30L1","30L2","30L3","27R1","27R2","27R3","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef","30L1_log","30L2_log","30L3_log","27R1_log","27R2_log","27R3_log","mean_control","mean_treatment","mean_control_log","mean_treatment_log","log_fc","log_pval","Expression","category"
"K00826",2.755727044,0.000218236,49.437,45.111,35.578,24.06,17.466,16.737,"Branched-chain-amino-acid aminotransferase","MAG: branched chain amino acid aminotransferase","Branched-chain-amino-acid aminotransferase","ilvE","GO:0009097;GO:0009098;GO:0009099;GO:0050048;GO:0052654;GO:0052655;GO:0052656;GO:0009081;GO:0003824;GO:0004084","isoleucine biosynthetic process;leucine biosynthetic process;valine biosynthetic process;L-leucine:2-oxoglutarate aminotransferase activity;L-leucine transaminase activity;L-valine transaminase activity;L-isoleucine transaminase activity;branched-chain amino acid metabolic process;catalytic activity;branched-chain-amino-acid transaminase activity","branched-chain amino acid aminotransferase ",5.656410561,5.527039048,5.192904289,4.64731451,4.206799487,4.148690111,19.421,43.37533333,4.334268036,5.458784633,1.124516597,3.661073262,"Upregulated","Amino acid metabolism"
"K01647",2.389360037,0.000844544,18.752,21.653,16.067,3.2081,4.0305,8.034,"Citrate synthase","MAG: citrate synthase","Citrate synthase","","GO:0006099;GO:0036440;GO:0005737;GO:0046912","tricarboxylic acid cycle;citrate synthase activity;cytoplasm;acyltransferase activity, acyl groups converted into alkyl on transfer","citrate synthase ",4.303926836,4.501630218,4.093137582,2.073168989,2.330701802,3.175364914,5.090866667,18.824,2.526411902,4.299564879,1.773152977,3.07337767,"Upregulated","Respiration"
"K02012",21.74546015,1e-06,301.74,279.69,254.79,2.406,6.0458,4.6865,"Iron deficiency-induced protein A","MAG: iron ABC transporter substrate-binding protein","Iron ABC transporter substrate-binding protein","","GO:0006811;GO:0055072;GO:0046872","ion transport;iron ion homeostasis;metal ion binding","iron(III) transport system substrate-binding protein",8.241935496,8.132833856,7.998816054,1.768078435,2.816763523,2.507540957,4.379433333,278.74,2.364127639,8.124528469,5.76040083,6,"Upregulated","Transport"
"K02097",2.662745952,0.000331839,44.323,43.307,32.135,19.248,14.779,18.746,"Phycobiliprotein beta chain","MAG: allophycocyanin subunit beta","Allophycocyanin subunit beta","","GO:0015979;GO:0030089;GO:0031676","photosynthesis;phycobilisome;plasma membrane-derived thylakoid membrane","phycobilisome core component",5.502171453,5.469462741,5.050284014,4.339707507,3.979933872,4.303488527,17.591,39.92166667,4.207709969,5.340639403,1.132929434,3.479073143,"Upregulated","Photosynthesis and chlorophyll"
"K02635",1.969898153,0.002603886,23.866,27.067,22.953,12.832,9.4046,10.712,"Cytochrome b6","MULTISPECIES: cytochrome b6","Cytochrome b6","petB","GO:0015979;GO:0022904;GO:0045158;GO:0046872;GO:0031676;GO:0009055;GO:0016491;GO:0016020;GO:0016021","photosynthesis;respiratory electron transport chain;electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity;metal ion binding;plasma membrane-derived thylakoid membrane;electron transfer activity;oxidoreductase activity;membrane;integral component of membrane","cytochrome b6",4.636102546,4.810802962,4.582134453,3.789937869,3.379149597,3.549915554,10.98286667,24.62866667,3.573001007,4.676346653,1.103345647,2.584377967,"Upregulated","Photosynthesis and chlorophyll"
"K07267",17.98118964,1e-06,450.05,404.2,300.69,71.379,63.145,54.229,"putative protein","MAG: porin","Porin","","GO:0008643;GO:0055085;GO:0015288;GO:0016020;GO:0016021","carbohydrate transport;transmembrane transport;porin activity;membrane;integral component of membrane","porin",8.817143558,8.662490364,8.236923067,6.17749927,6.003264909,5.7873541,62.91766667,384.98,5.98937276,8.572185663,2.582812903,6,"Upregulated","Transport"
"IKNINDAA_00641",-2.686835836,0.000409567,0,0,6.886,10.426,21.496,20.085,"hypothetical protein","carboxysome shell carbonic anhydrase","","","","","hypothetical protein",0,0,2.97929371,3.51424853,4.491596594,4.398145117,17.33566667,2.295333333,4.134663414,0.993097903,-3.14156551,3.387675555,"Downregulated","unknown"
"IKNINDAA_01164",-2.525197288,0.000741405,5.1142,7.2178,11.477,23.258,22.168,28.119,"hypothetical protein","MAG: hypothetical protein DCO99_07515","","","","","hypothetical protein",2.612163745,3.038752219,3.641199186,4.600388704,4.534061602,4.863888906,24.515,7.936333333,4.666113071,3.097371717,-1.568741354,3.129944441,"Downregulated","unknown"
"IKNINDAA_01566",-2.259911674,0.00131988,0,0,0,11.228,10.076,10.712,"hypothetical protein","MAG: hypothetical protein DCO99_00625","","","","","hypothetical protein",0,0,0,3.612116552,3.469365054,3.549915554,10.672,0,3.543799053,0,-3.543799053,2.879465414,"Downregulated","unknown"
"IKNINDAA_02077",-1.504716934,0.009656203,3.4095,7.2178,14.92,14.436,18.809,20.085,"hypothetical protein","PRC-barrel domain-containing protein","","","","","hypothetical protein",2.140615076,3.038752219,3.992768431,3.948227044,4.308084147,4.398145117,17.77666667,8.515766667,4.218152102,3.057378575,-1.160773527,2.0151936,"Downregulated","unknown"
"IKNINDAA_02085",-1.846267464,0.003863976,0,0,11.477,12.832,16.794,14.059,"hypothetical protein","MAG: hypothetical protein DCO99_10055","","","","","hypothetical protein",0,0,3.641199186,3.789937869,4.153318952,3.912554065,14.56166667,3.825666667,3.951936962,1.213733062,-2.7382039,2.41296557,"Downregulated","unknown"
"IKNINDAA_02243",-1.541534877,0.008799701,6.8189,7.2178,14.92,18.446,18.809,21.424,"hypothetical protein","C2 family cysteine protease, partial","","","GO:0006508;GO:0004198","proteolysis;calcium-dependent cysteine-type endopeptidase activity","hypothetical protein",2.966965657,3.038752219,3.992768431,4.281401521,4.308084147,4.486971744,19.55966667,9.652233333,4.358819137,3.332828769,-1.025990369,2.055532082,"Downregulated","Translation"
"K00228",-1.680775835,0.00609716,0,0,0,1.604,8.7328,12.72,"Oxygen-dependent coproporphyrinogen-III oxidase","oxygen-dependent coproporphyrinogen oxidase","","","GO:0006779;GO:0004109","porphyrin-containing compound biosynthetic process;coproporphyrinogen oxidase activity","coproporphyrinogen III oxidase ",0,0,0,1.380729449,3.282854909,3.778208576,7.6856,0,2.813930978,0,-2.813930978,2.214872412,"Downregulated","Photosynthesis and chlorophyll"
